Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$13,315,692,556 ",3.31%,13.81,1.59,4.07,Analyze
HAS,Hasbro Inc,Common stocks,Large cap,Consumer Discretionary,"$13,304,979,084 ",2.79%,31.23,2.07,4.37,Analyze
LNC,Lincoln National Corp,Common stocks,Large cap,Financials,"$13,150,171,153 ",2.33%,9.45,0.69,0.66,Analyze
CMA,Comerica Inc,Common stocks,Large cap,Financials,"$13,137,161,673 ",2.68%,11.56,4.86,1.67,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$12,990,181,028 ",1.47%,24.5,3.72,3.59,Analyze
CTXS,Citrix Systems Inc,Common stocks,Large cap,Information Technology,"$12,737,946,917 ",1.44%,41.35,3.96,23.24,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$12,667,790,538 ",5.55%,20.04,2.88,13.08,Analyze
WRK,Westrock,Common stocks,Large cap,Materials,"$12,486,890,756 ",2.05%,14.29,0.65,1.06,Analyze
XRAY,Dentsply Sirona Inc,Common stocks,Large cap,Health Care,"$12,353,483,039 ",0.76%,29.65,2.91,2.42,Analyze
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$12,303,061,075 ",1.08%,35.68,6.59,9.71,Analyze
FBHS,Fortune Brands Home And Security,Common stocks,Large cap,Industrials,"$12,271,742,222 ",1.15%,16.01,1.6,4.04,Analyze
FFIV,F5 Networks Inc,Common stocks,Large cap,Information Technology,"$12,247,851,981 ",0.00%,36.77,4.59,5.15,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,Industrials,"$12,199,173,594 ",0.00%,-6.11,0.41,-1.66,Analyze
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$12,159,031,846 ",1.16%,6.32,0.87,1.64,Analyze
WHR,Whirlpool Corp,Common stocks,Large cap,Consumer Discretionary,"$11,978,959,509 ",2.64%,6.78,0.54,2.41,Analyze
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$11,930,379,194 ",2.04%,11.93,1.08,1.21,Analyze
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$11,858,675,582 ",1.65%,21.5,0,2.87,Analyze
APA,Apache Corp,Common stocks,Large cap,Energy,"$11,708,329,368 ",0.74%,18.39,1.7,-10.75,Analyze
AOS,A O Smith Corp,Common stocks,Large cap,Industrials,"$11,699,536,520 ",1.48%,19.77,3.31,5.26,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$11,680,673,335 ",2.29%,13.92,0.51,5.81,Analyze
ZION,Zions Bancorporation,Common stocks,Large cap,Financials,"$11,567,343,820 ",1.92%,10.51,3.97,1.55,Analyze
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$11,554,502,525 ",2.34%,14.22,2.51,2.79,Analyze
UHS,Universal Health Services Inc.,Common stocks,Large cap,Health Care,"$11,482,389,504 ",0.44%,9.51,0.92,1.61,Analyze
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$11,349,113,878 ",0.00%,18.5,0.92,2.87,Analyze
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,327,452,278 ",3.60%,20.55,9.71,1.91,Analyze
DVA,Davita Inc,Common stocks,Large cap,Health Care,"$11,257,470,000 ",0.00%,11.81,0.97,12.34,Analyze
JNPR,Juniper Networks Inc,Common stocks,Large cap,Information Technology,"$11,167,444,273 ",2.29%,44.38,2.36,2.6,Analyze
WYNN,Wynn Resorts Ltd,Common stocks,Large cap,Consumer Discretionary,"$11,133,229,069 ",0.00%,-12.85,3.28,-204.71,Analyze
NI,Nisource Inc,Common stocks,Large cap,Utilities,"$11,097,834,229 ",3.13%,24.88,2.36,1.72,Analyze
NWL,Newell Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$11,081,670,000 ",3.48%,19.34,1.05,2.7,Analyze
BWA,BorgWarner Inc,Common stocks,Large cap,Consumer Discretionary,"$10,856,843,332 ",1.49%,20.19,0.73,1.56,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$10,850,452,848 ",0.00%,-142.62,10.6,4.83,Analyze
IVZ,Invesco Ltd,Common stocks,Large cap,Financials,"$10,759,948,042 ",2.88%,7.81,1.56,0.65,Analyze
TPR,Tapestry,Common stocks,Large cap,Consumer Discretionary,"$10,749,661,358 ",1.22%,12.92,2.46,3.69,Analyze
TAP,Molson Coors Brewing Class B,Common stocks,Large cap,Consumer Staples,"$10,746,781,276 ",1.37%,-22.33,1.08,0.75,Analyze
GL,Globe Life Inc.,Common stocks,Large cap,Financials,"$10,657,347,407 ",0.75%,14.35,2.08,1.24,Analyze
